EGT_ID,EGT_UID,ELCODE,TAXGROUP,G_NAME,G_COMNAME,ORIGIN,PRESENCE,COMMENTS,HUC8_OLD,HUC8_WBD,CONV_DATA,DUP_FLAG,PCTOVRLAP,CONF_SCORE,CONFMETHOD,CONF_COM,CONF_EO,REFCODE1,SHORT_CIT1,NEW_DATA,NEW_RECTOT,NEW_SRC,NEW_COM,REFCODE2,SHORT_CIT2,CURR_EO,EOpost1978,EO_noDate
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,.............................................................................................................................................................................................................................................................,05050003,05050003,Y,,98.18869033,Very High,Auto,.............................................................................................................................................................................................................................................................,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05050005,05050005,Y,,96.68264945,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
107950,2-107950,ICMAL07250,Crayfishes,Cambarus nerterius,Greenbrier Cave Crayfish,Native,Present,,05050005,05050005,Y,,96.68264945,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
107950,2-107950,ICMAL07250,Crayfishes,Cambarus nerterius,Greenbrier Cave Crayfish,Native,Present,,05050007,05050007,Y,,97.75405756,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
116252,2-116252,ICMAL07870,Crayfishes,Cambarus elkensis,Elk River Crayfish,Native,Present,,05050007,05050007,Y,,97.75405756,Very High,Auto,,,B95JEZ01EHUS,"Jezerinac et al., 1995",Y,6,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05050007,05050007,Y,,97.75405756,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
952590,2-952590,ICMAL07B40,Crayfishes,Cambarus veteranus,Guyandotte River Crayfish,Native,Present,,05070101,05070101,Y,,97.54142761,Very High,Auto,,,B95JEZ01EHUS,"Jezerinac et al., 1995",,,,,,,,,
952590,2-952590,ICMAL07B40,Crayfishes,Cambarus veteranus,Guyandotte River Crayfish,Native,Present,Specimens at INHS (1999),05070201,05070201,Y,,97.73205082,Very High,Auto,,,.............................................................................................................................................................................................................................................................,.............................................................................................................................................................................................................................................................,,,,,,,,,
952590,2-952590,ICMAL07B40,Crayfishes,Cambarus veteranus,Guyandotte River Crayfish,Native,Present,,05070202,05070202,Y,,98.83597584,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
952590,2-952590,ICMAL07B40,Crayfishes,Cambarus veteranus,Guyandotte River Crayfish,Native,Present,Specimens at INHS (1999),05070203,05070203,Y,,97.84953054,Very High,Auto,,,,,,,,,,,,,
112045,2-112045,ICMAL11150,Crayfishes,Faxonius sloanii,Sloan Crayfish,Native,Present,,05080002,05080002,Y,,95.82680812,Very High,Auto,,,A88STJ01EHUS,"St. Johns, 1988",Y,3,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
120868,2-120868,ICMAL07110,Crayfishes,Cambarus ortmanni,Ortmann's Mudbug,Native,Present,,05080002,05080002,Y,,95.82680812,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
112045,2-112045,ICMAL11150,Crayfishes,Faxonius sloanii,Sloan Crayfish,Native,Present,,05080003,05080003,Y,,97.72054203,Very High,Auto,,,A88STJ01EHUS,"St. Johns, 1988",Y,3,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
106957,2-106957,ICMAL15120,Crayfishes,Creaserinus fodiens,Digger Crayfish,Native,Present,,05090101,05090101,Y,,96.67161907,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
120868,2-120868,ICMAL07110,Crayfishes,Cambarus ortmanni,Ortmann's Mudbug,Native,Present,,05090201,05090201,Y,,97.0406195,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
120868,2-120868,ICMAL07110,Crayfishes,Cambarus ortmanni,Ortmann's Mudbug,Native,Present,,05090202,05090202,Y,,97.95212033,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
112045,2-112045,ICMAL11150,Crayfishes,Faxonius sloanii,Sloan Crayfish,Native,Present,,05090203,05090203,Y,,97.77921129,Very High,Auto,,,A88STJ01EHUS,"St. Johns, 1988",,,,,,,,,
120537,2-120537,ICMAL49010,Crayfishes,Barbicambarus cornutus,Bottle Brush Crayfish,Native,Present,,05100101,05100101,Y,,97.55416702,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
112249,2-112249,ICMAL11070,Crayfishes,Orconectes pellucidus,Mammoth Cave Crayfish,Native,Present,,05100101,05100101,Y,,97.55416702,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
106652,2-106652,ICMAL07060,Crayfishes,Cambarus parvoculus,Mountain Midget Crayfish,Native,Present,,05100201,05100201,Y,,97.97710212,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
106652,2-106652,ICMAL07060,Crayfishes,Cambarus parvoculus,Mountain Midget Crayfish,Native,Present,,05100203,05100203,Y,,97.98515236,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
952590,2-952590,ICMAL07B40,Crayfishes,Cambarus veteranus,Guyandotte River Crayfish,Native,Present,,05100204,05100204,Y,,97.7083145,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
117824,2-117824,ICMAL07020,Crayfishes,Cambarus batchi,Bluegrass Crayfish,Native,Present,Specimens at Eastern KY University,05100204,05100204,Y,,97.7083145,Very High,Auto,,,,,,,,,,,,,
117824,2-117824,ICMAL07020,Crayfishes,Cambarus batchi,Bluegrass Crayfish,Native,Present,Specimens at Eastern KY University,05100205,05100205,Y,,98.64625355,Very High,Auto,,,,,Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
120537,2-120537,ICMAL49010,Crayfishes,Barbicambarus cornutus,Bottle Brush Crayfish,Native,Present,,05100205,05100205,Y,,98.64625355,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
112249,2-112249,ICMAL11070,Crayfishes,Orconectes pellucidus,Mammoth Cave Crayfish,Native,Present,,05110001,05110001,Y,,97.91852499,Very High,Auto,,,B72HOB02EHUS,"Hobbs and Barr, 1972",Y,2,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
120537,2-120537,ICMAL49010,Crayfishes,Barbicambarus cornutus,Bottle Brush Crayfish,Native,Present,,05110001,05110001,Y,,97.91852499,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,12,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
112249,2-112249,ICMAL11070,Crayfishes,Orconectes pellucidus,Mammoth Cave Crayfish,Native,Present,,05110002,05110002,Y,,99.00416021,Very High,Auto,,,B72HOB02EHUS,"Hobbs and Barr, 1972",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
119588,2-119588,ICMAL07500,Crayfishes,Cambarus friaufi,Hairy Crayfish,Native,Present,,05110002,05110002,Y,,99.00416021,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,3,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
120537,2-120537,ICMAL49010,Crayfishes,Barbicambarus cornutus,Bottle Brush Crayfish,Native,Present,,05110002,05110002,Y,,99.00416021,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,18,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
1101996,2-1101996,ICMAL07D00,Crayfishes,Lacunicambarus diogenes,Devil Crawfish,Native,Present,,04120104,04120104,Y,,97.01209722,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020001,05020001,Y,,98.53332514,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020002,05020002,Y,,97.64615061,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020003,05020003,Y,,96.0584212,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
111736,2-111736,ICMAL07650,Crayfishes,Cambarus monongalensis,Blue Crawfish,Native,Present,,05020004,05020004,Y,,97.13391755,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
